Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
Tunisia,1132,50,1006,76,4,0,2,1087,45,4.14,Eastern Mediterranean
Turkey,184031,4882,156022,23127,1304,21,1382,174023,10008,5.75,Europe
US,2191052,118434,599115,1473503,27762,717,6924,2023590,167462,8.28,Americas
Uganda,741,0,486,255,9,0,66,679,62,9.13,Africa
Ukraine,34833,976,16001,17856,847,23,516,29706,5127,17.26,Europe
United Arab Emirates,43752,298,30241,13213,388,3,704,40986,2766,6.75,Eastern Mediterranean
United Kingdom,301935,42373,1313,258249,1218,135,9,292860,9075,3.1,Europe
Uruguay,850,24,814,12,1,0,4,847,3,0.35,Americas
Uzbekistan,5767,19,4166,1582,85,0,35,4741,1026,21.64,Europe
Venezuela,3483,28,835,2620,97,0,0,2814,669,23.77,Americas
Vietnam,342,0,325,17,7,0,0,332,10,3.01,Western Pacific
West Bank and Gaza,600,3,415,182,45,0,0,487,113,23.2,Eastern Mediterranean
Western Sahara,9,1,8,0,0,0,0,9,0,0,Africa
Yemen,909,248,273,388,7,4,2,591,318,53.81,Eastern Mediterranean
Zambia,1416,11,1144,261,4,0,2,1200,216,18,Africa
Zimbabwe,463,4,63,396,62,0,0,332,131,39.46,Africa
